1,"[स]
राजञ शतसहस्राणि तत्र तत्र तदा तदा
निर्मर्यादं परयुद्धानि तत ते वक्ष्यामि भारत"
2,"न पुत्रः पितरं जज्ञे न पिता पुत्रम औरसम
न भराता भरातरं तत्र सवस्रीयं न च मातुलः"
3,"मातुलं न च सवस्रीयॊ न सखायं सखा तथा
आविष्टा इव युध्यन्ते पाण्डवाः कुरुभिः सह"
4,"रथानीकं नरव्याघ्राः के चिद अभ्यपतन रथैः
अभज्यन्त युगैर एव युगानि भरतर्षभ"
5,"रथेषाश च रथेषाभिः कूबरा रथकूबरैः
संहता संहतैः के चित परस्परजिघांसवः"
6,"न शेकुश चलितुं के चित संनिपत्य रथा रथैः
परभिन्नास तु महाकायाः संनिपत्य गजा गजैः"
7,"बहुधादारयन करुद्धा विषाणैर इतरेतरम
स तॊमरपताकैश च वारणाः परवारणैः"
8,"अभिसृत्य महाराज वेगवद्भिर महागजैः
दन्तैर अभिहतास तत्र चुक्रुशुः परमातुराः"
9,"अभिनीताश च शिक्षाभिस तॊत्त्राङ्कुश समाहताः
सुप्रभिन्नाः परभिन्नानां संमुखाभिमुखा ययुः"
10,"परभिन्नैर अपि संसक्ताः के चित तत्र महागजाः
करौञ्चवन निनदं मुक्त्वा पराद्रवन्त ततस ततः"
11,"सम्यक परणीता नागाश च परभिन्नकरटा मुखाः
ऋष्टितॊमरनाराचैर निर्विद्धा वरवारणाः"
12,"विनेदुर भिन्नमर्माणॊ निपेतुश च गतासवः
पराद्रवन्त दिशः के चिन नदन्तॊ भैरवान रवान"
13,"गजानां पादरक्षास तु वयूढॊरस्काः परहारिणः
ऋष्टिभिश च धनुर्भिश च विमलैश च परश्वधैः"
14,"गदाभिर मुसलैश चैव भिण्डिपालैः स तॊमरैः
आयसैः परिघैश चैव निस्त्रिंशैर विमलैः शितैः"
15,"परगृहीतैः सुसंरब्धा धावमानास ततस ततः
वयदृश्यन्त महाराज परस्परजिघांसवः"
16,"राजमानाश च निस्त्रिंशाः संसिक्ता नरशॊणितैः
परत्यदृश्यन्त शूराणाम अन्यॊन्यम अभिधावताम"
17,"अवक्षिप्तावधूतानाम असीनां वीरबाहुभिः
संजज्ञे तुमुलः शब्दः पततां परमर्मसु"
18,"गदामुसलरुग्णानां भिन्नानां च वरासिभिः
दन्ति दन्ताव अभिन्नानां मृदितानां च दन्तिभिः"
19,"तत्र तत्र नरौघाणां करॊशताम इतरेतरम
शुश्रुवुर दारुणा वाचः परेतानाम इव भारत"
