1,"[मार्क]
बरह्मणॊ यस तृतीयस तु पुत्रः कुरुकुलॊद्वह
तस्यापव सुता भार्या परजास तस्यापि मे शृणु"
2,"बृहज्ज्यॊतिर बृहत्कीर्तिर बृहद्ब्रह्मा बृहन्मनाः
बृहन्मन्त्रॊ बृहद्भासस तथा राजन बृहस्पतिः"
3,"परजासु तासु सर्वासु रूपेणाप्रतिमाभवत
देवी भानुमती नाम परथमाङ्गिरसः सुता"
4,"भूतानाम एव सर्वेषां यस्यां रागस तदाभवत
रागाद रागेति याम आहुर दवितीयाङ्गिरसः सुता"
5,"यां कपर्दि सुताम आहुर दृश्यादृश्येति देहिनः
तनुत्वात सा सिनीवाली तृतीयाङ्गिरसः सुता"
6,"पश्यत्य अर्चिष्मती भाभिर हविर भिश च हविष्मती
षष्ठम अङ्गिरसः कन्यां पुण्याम आहुर हविष्मतीम"
7,"महामखेष्व आङ्गिरषी दीप्तिमत्सु महामती
महामतीति विख्याता सप्तमी कथ्यते सुता"
8,"यां तु दृष्ट्वा भगवतीं जनः कुहुकुहायते
एकानंशेति याम आहुः कुहूम अङ्ग्निरसः सुताम"
