1,"[बराह्मण]
समुत्पन्नाभिधानॊ ऽसमि वाङ माधुर्येण ते ऽनघ
मित्रताम अभिपन्नस तवां किं चिद वक्ष्यामि तच छृणु"
2,"गृहस्थ धर्मं विप्रेन्द्र कृत्वा पुत्रगतं तव अहम
धर्मं परमकं कुर्यां कॊ हि मार्गॊ भवेद दविज"
3,"अहम आत्मानम आत्मस्थम एक एवात्मनि सथितः
कर्तुं काङ्क्षामि नेच्छामि बद्धः साधारणैर गुणैः"
4,"यावद एवानतीतं मे वयः पुत्रफलाश्रितम
तावद इच्छामि पाथेयम आदातुं पारलौकिकम"
5,"अस्मिन हि लॊकसंताने परं पारम अभीप्सतः
उत्पन्ना मे मतिर अयं कुतॊ धर्ममयः पलवः"
6,"समुह्यमानानि निशम्य लॊके; निर्यात्यमानानि च सात्त्विकानि
दृष्ट्वा च धर्मध्वजकेतुमालां; परकीर्यमानाम उपरि परजानाम"
7,"न मे मनॊ रज्यते भॊगकाले; दृष्ट्वा यतीन परार्थयतः परत्र
तेनातिथे बुद्धिबलाश्रयेण; धर्मार्थतत्त्वे विनियुङ्क्ष्व मां तवम"
8,"[भीस्म]
सॊ ऽतिथिर वचनं तस्य शरुत्वा धर्माभिलासिनः
परॊवाच वचनं शलक्ष्णं पराज्ञॊ मधुरया गिरा"
9,"अहम अप्य अत्र मुह्यामि ममाप्य एष मनॊरथः
न च संनिश्चयं यामि बहु दवारे तरिविष्टपे"
10,"के चिन मॊक्षं परशंसन्ति के चिद यज्ञफलं दविजाः
वान परस्थाश्रमं के चिद गार्हस्थ्यं के चिद आश्रिताः"
11,"राजधर्माश्रयं के चित के चिद आत्मफलाश्रयम
गुरु चर्याश्रयं के चित के चिद वाक्यं यम आश्रयम"
12,"मातरं पितरं के चिच छुश्रूसन्तॊ दिवं गताः
अहिंसया परे सवर्गं सत्येन च तथा परे"
13,"आहवे ऽभिमुखाः के चिन निहताः सविद दिवं गताः
के चिद उञ्छव्रतैः सिद्धाः सवर्गमार्गसमाश्रिताः"
14,"के चिद अध्ययने युक्ता वेद वरतपराः शुभाः
बुद्धिमन्तॊ गताः सवर्गं तुष्टात्मानॊ जितेन्द्रियाः"
15,"आर्जवेनापरे युक्ता निहतानार्जवैर जनैः
ऋजवॊ नाकपृष्ठे वै शुद्धात्मानः परतिष्ठिताः"
16,"एवं बहुविधैर लॊके धर्मद्वारैर अनावृतैः
ममापि मतिर आविग्ना मेघलेखेव वायुना"
