1,"[भीस्म]
सुदक्षिणस तु काम्बॊजॊ रथ एकगुणॊ मतः
तवार्थ सिद्धिम आकाङ्क्षन यॊत्स्यते समरे परैः"
2,"एतस्य रथसिंहस्य तवार्थे राजसत्तम
पराक्रमं यथेन्द्रस्य दरक्ष्यन्ति कुरवॊ युधि"
3,"एतस्य रथवंशॊ हि तिग्मवेगप्रहारिणाम
काम्बॊजानां महाराज शलभानाम इवायतिः"
4,"नीलॊ माहिष्मती वासी नीलवर्म धरस तव
रथवंशेन शत्रूणां कदनं वै करिष्यति"
5,"कृतवैरः पुरा चैव सहदेवेन पार्थिवः
यॊत्स्यते सततं राजंस तवार्थे कुरुसत्तम"
6,"विन्दानुविन्दाव आवन्त्यौ समेतौ रथसत्तमौ
कृतिनौ समरे तात दृढवीर्यपराक्रमौ"
7,"एतौ तौ पुरुषव्याघ्रौ रिपुसैन्यं परधक्ष्यतः
गदा परासासिनाराचैस तॊमरैश च भुजच्युतैः"
8,"युद्धाभिकामौ समरे करीडन्ताव इव यूथपौ
यूथमध्ये महाराज विचरन्तौ कृतान्तवत"
9,"तरिगर्ता भरातरः पञ्च रथॊदारा मता मम
कृतवैराश च पार्थेन विराटनगरे तदा"
10,"मकरा इव राजेन्द्र समुद्धत तरङ्गिणीम
गङ्गां विक्षॊभयिष्यन्ति पार्थानां युधि वाहिनीम"
11,"ते रथाः पञ्च राजेन्द्र येषां सत्यरथॊ मुखम
एते यॊत्स्यन्ति समरे संस्मरन्तः पुरा कृतम"
12,"वयलीकं पाण्डवेयेन भीमसेनानुजेन ह
दिशॊ विजयता राजञ शवेतवाहेन भारत"
13,"ते हनिष्यन्ति पार्थानां समासद्य महारथान
वरान वरान महेष्वासान कषत्रियाणां धुरंधराः"
14,"लक्ष्मणस तव पुत्रस तु तथा दुःशासनस्य च
उभौ तौ पुरुषव्याघ्रौ संग्रामेष्व अनिवर्तिनौ"
15,"तरुणौ सुकुमारौ च राजपुत्रौ तरस्विनौ
युद्धानां च विशेषज्ञौ परणेतारौ च सर्वशः"
16,"रथौ तौ रथशार्दूल मतौ मे रथसत्तमौ
कषत्रधर्मरतौ वीरौ महत कर्म करिष्यतः"
17,"दण्डधारॊ महाराज रथ एकॊ नरर्षभः
यॊत्स्यते समरं पराप्य सवेन सैन्येन पालितः"
18,"बृहद्बलस तथा राजा कौसल्यॊ रथसत्तमः
रथॊ मम मतस तात दृढवेगपराक्रमः"
19,"एष यॊत्स्यति संग्रामे सवां चमूं संप्रहर्षयन
उग्रायुधॊ महेष्वासॊ धार्तराष्ट्र हिते रतः"
20,"कृपः शारद्वतॊ राजन रथयूथप यूथपः
परियान पराणान परित्यज्य परधक्ष्यति रिपूंस तव"
21,"गौतमस्य महर्षेर य आचार्यस्य शरद्वतः
कार्तिकेय इवाजेयः शरस्तम्बात सुतॊ ऽभवत"
22,"एष सेनां बहुविधां विविधायुधकार्मुकाम
अग्निवत समरे तात चरिष्यति विमर्दयन"
